2020-08-13 10:29:30 INFO     正在baiduFlac中搜索 ——> 情人...
2020-08-13 10:31:07 WARNING  无法在baiduFlac中搜索 ——> 情人...
2020-08-13 10:31:07 INFO     正在kugou中搜索 ——> 情人...
2020-08-13 10:31:07 INFO     正在kuwo中搜索 ——> 情人...
2020-08-13 10:31:10 INFO     正在netease中搜索 ——> 情人...
2020-08-13 10:31:18 WARNING  无法在netease中搜索 ——> 情人...
2020-08-13 10:31:18 INFO     正在qianqian中搜索 ——> 情人...
2020-08-13 10:33:28 WARNING  无法在qianqian中搜索 ——> 情人...
2020-08-13 10:33:28 INFO     正在qq中搜索 ——> 情人...
2020-08-13 10:33:38 INFO     正在migu中搜索 ——> 情人...
2020-08-13 10:33:39 INFO     正在xiami中搜索 ——> 情人...
2020-08-13 10:33:42 INFO     正在joox中搜索 ——> 情人...
2020-08-13 10:33:58 INFO     正在从kuwo下载 ——> kuwo_情人...
2020-08-13 10:34:09 INFO     成功从kuwo下载到了 ——> kuwo_情人...
2020-08-13 10:34:50 INFO     正在baiduFlac中搜索 ——> 说好不哭...
2020-08-13 10:35:56 WARNING  无法在baiduFlac中搜索 ——> 说好不哭...
2020-08-13 10:35:56 INFO     正在kugou中搜索 ——> 说好不哭...
2020-08-13 10:37:06 WARNING  无法在kugou中搜索 ——> 说好不哭...
2020-08-13 10:37:06 INFO     正在kuwo中搜索 ——> 说好不哭...
2020-08-13 10:37:07 INFO     正在netease中搜索 ——> 说好不哭...
2020-08-13 10:37:33 INFO     正在qianqian中搜索 ——> 说好不哭...
2020-08-13 10:39:35 WARNING  无法在qianqian中搜索 ——> 说好不哭...
2020-08-13 10:39:35 INFO     正在qq中搜索 ——> 说好不哭...
2020-08-13 10:39:37 INFO     正在migu中搜索 ——> 说好不哭...
2020-08-13 10:39:37 INFO     正在xiami中搜索 ——> 说好不哭...
2020-08-13 10:39:38 INFO     正在joox中搜索 ——> 说好不哭...
2020-08-13 10:40:45 INFO     正在baiduFlac中搜索 ——> 说好不哭...
2020-08-13 10:42:50 WARNING  无法在baiduFlac中搜索 ——> 说好不哭...
2020-08-13 10:42:50 INFO     正在kugou中搜索 ——> 说好不哭...
2020-08-13 10:42:51 INFO     正在kuwo中搜索 ——> 说好不哭...
2020-08-13 10:42:52 INFO     正在netease中搜索 ——> 说好不哭...
2020-08-13 10:43:23 INFO     正在qianqian中搜索 ——> 说好不哭...
2020-08-13 10:45:05 WARNING  无法在qianqian中搜索 ——> 说好不哭...
2020-08-13 10:45:05 INFO     正在qq中搜索 ——> 说好不哭...
2020-08-13 10:45:07 INFO     正在migu中搜索 ——> 说好不哭...
2020-08-13 10:45:07 INFO     正在xiami中搜索 ——> 说好不哭...
2020-08-13 10:45:08 INFO     正在joox中搜索 ——> 说好不哭...
2020-08-13 10:45:09 INFO     正在baiduFlac中搜索 ——> ...
2020-08-13 10:45:09 WARNING  无法在baiduFlac中搜索 ——> ...
2020-08-13 10:45:09 INFO     正在kugou中搜索 ——> ...
2020-08-13 10:45:10 INFO     正在kuwo中搜索 ——> ...
2020-08-13 10:45:10 WARNING  无法在kuwo中搜索 ——> ...
2020-08-13 10:45:10 INFO     正在netease中搜索 ——> ...
2020-08-13 10:45:13 WARNING  无法在netease中搜索 ——> ...
2020-08-13 10:45:13 INFO     正在qianqian中搜索 ——> ...
2020-08-13 10:45:14 WARNING  无法在qianqian中搜索 ——> ...
2020-08-13 10:45:14 INFO     正在qq中搜索 ——> ...
2020-08-13 10:45:14 INFO     正在migu中搜索 ——> ...
2020-08-13 10:45:14 WARNING  无法在migu中搜索 ——> ...
2020-08-13 10:45:14 INFO     正在xiami中搜索 ——> ...
2020-08-13 10:45:14 INFO     正在joox中搜索 ——> ...
